"","year","minwage","household","scenario","absolute_poverty","relative_poverty"
"95","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,507
"96","Kahe lapsega paar","Ennustatud 2018",0,9.74,2018,507
"97","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,507
"98","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,507
"99","Üksik mees","Tegelik 2018",6.42,33.62,2018,508
"100","Üksik mees","Ennustatud 2018",6.42,33.62,2018,508
"101","Üksik naine","Tegelik 2018",2.16,22.68,2018,508
"102","Üksik naine","Ennustatud 2018",2.16,22.06,2018,508
"103","Üksikvanem","Tegelik 2018",0.19,30.12,2018,508
"104","Üksikvanem","Ennustatud 2018",0.19,30.12,2018,508
"105","Lasteta paar","Tegelik 2018",0.63,9.31,2018,508
"106","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,508
"107","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,508
"108","Ühe lapsega paar","Ennustatud 2018",0,7.42,2018,508
"109","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,508
"110","Kahe lapsega paar","Ennustatud 2018",0,9.74,2018,508
"111","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,508
"112","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,508
"113","Üksik mees","Tegelik 2018",6.42,33.62,2018,509
"114","Üksik mees","Ennustatud 2018",6.42,33.62,2018,509
"115","Üksik naine","Tegelik 2018",2.16,22.68,2018,509
"116","Üksik naine","Ennustatud 2018",2.16,22.06,2018,509
"117","Üksikvanem","Tegelik 2018",0.19,30.12,2018,509
"118","Üksikvanem","Ennustatud 2018",0.19,30.12,2018,509
"119","Lasteta paar","Tegelik 2018",0.63,9.31,2018,509
"120","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,509
"121","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,509
"122","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,509
"123","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,509
"124","Kahe lapsega paar","Ennustatud 2018",0,9.74,2018,509
"125","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,509
"126","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,509
"127","Üksik mees","Tegelik 2018",6.42,33.62,2018,510
"128","Üksik mees","Ennustatud 2018",6.42,33.62,2018,510
"129","Üksik naine","Tegelik 2018",2.16,22.68,2018,510
"130","Üksik naine","Ennustatud 2018",2.16,22.06,2018,510
"131","Üksikvanem","Tegelik 2018",0.19,30.12,2018,510
"132","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,510
"133","Lasteta paar","Tegelik 2018",0.63,9.31,2018,510
"134","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,510
"135","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,510
"136","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,510
"137","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,510
"138","Kahe lapsega paar","Ennustatud 2018",0,9.74,2018,510
"139","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,510
"140","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,510
"141","Üksik mees","Tegelik 2018",6.42,33.62,2018,511
"142","Üksik mees","Ennustatud 2018",6.42,33.62,2018,511
"143","Üksik naine","Tegelik 2018",2.16,22.68,2018,511
"144","Üksik naine","Ennustatud 2018",2.16,22.06,2018,511
"145","Üksikvanem","Tegelik 2018",0.19,30.12,2018,511
"146","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,511
"147","Lasteta paar","Tegelik 2018",0.63,9.31,2018,511
"148","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,511
"149","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,511
"150","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,511
"151","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,511
"152","Kahe lapsega paar","Ennustatud 2018",0,9.74,2018,511
"153","Kolme ja enama lapsega paar","Tegelik 2018",0,7.35,2018,511
"154","Kolme ja enama lapsega paar","Ennustatud 2018",0,7.35,2018,511
"155","Üksik mees","Tegelik 2018",6.42,33.62,2018,512
"156","Üksik mees","Ennustatud 2018",6.42,33.62,2018,512
"157","Üksik naine","Tegelik 2018",2.16,22.68,2018,512
"158","Üksik naine","Ennustatud 2018",2.16,22.06,2018,512
"159","Üksikvanem","Tegelik 2018",0.19,30.12,2018,512
"160","Üksikvanem","Ennustatud 2018",0.19,30.29,2018,512
"161","Lasteta paar","Tegelik 2018",0.63,9.31,2018,512
"162","Lasteta paar","Ennustatud 2018",0.63,9.61,2018,512
"163","Ühe lapsega paar","Tegelik 2018",0,7.35,2018,512
"164","Ühe lapsega paar","Ennustatud 2018",0,7.34,2018,512
"165","Kahe lapsega paar","Tegelik 2018",0,9.74,2018,512
"166","Kahe lapsega paar","Ennustatud 2018",0,9.74,2018,512
