"","year","minwage","new pay gap","new disp inc gap ft","new disp inc gap","new abs poverty rate","relative poverty line","new relative poverty rate","new in-work poverty rate","new social tax","social tax change","new income tax","income tax change","total tax change","new subsistence benefits","subsistence benefit change","new all benefits","total benefits change","other benefits change"
"1",2020,585,21.8112625545738,10.5904672065526,15.1540834094839,0.45,598.196666666667,17.08,6.96,363089841.5329,0.00491597623722839,157698702.389,0.0060095348555933,0.0052471115173347,3179612.6925,-0.0107645391208422,269953358.1491,-0.000127003593107133,-2.03693204525734e-07
"2",2020,586,21.8097802431588,10.5894324426043,15.1539233009878,0.45,598.196666666667,17.08,6.96,363107496.2636,0.00977857402511972,157708320.5633,0.0121089840976367,0.0104842344068743,3179270.5074,-0.021525229130603,269953015.964,-0.000253760551345295,-2.03693204525734e-07
"3",2020,587,21.8076158987229,10.5884265982758,15.1537891434049,0.45,598.196666666667,17.08,6.96,363125357.7761,0.0146981252007521,157717929.5546,0.0182026098599692,0.0157593015197222,3178927.7928,-0.032302570319402,269952673.2494,-0.000380713654294595,-2.03693204525734e-07
"4",2020,588,21.8089033759146,10.5873084757106,15.1535844573346,0.45,598.196666666667,17.08,6.96,363143643.8325,0.0197346074281199,157727814.7396,0.0244713862696102,0.0211689288829291,3178588.1946,-0.0429819101213695,269952333.6512,-0.000506512337096865,-2.03693204525734e-07
"5",2020,589,21.7818071099628,10.5861867525736,15.1533802185855,0.45,598.196666666667,17.08,6.96,363161857.0895,0.0247510387010124,157737666.902,0.0307192211089955,0.0265582356085474,3178245.48,-0.0537592513101544,269951990.9366,-0.000633465440046166,-2.0369319031488e-07
"6",2020,590,21.7800531424305,10.5850704035066,15.153197154646,0.45,598.196666666667,17.05,6.94,363180862.4993,0.0299856506144778,157747873.1683,0.0371916140294815,0.0321676540971509,3177903.2949,-0.0645199413199151,269951648.7515,-0.000760222398284327,-2.03693204525734e-07
"7",2020,591,21.7843693625799,10.5839780586953,15.15304660146,0.45,598.196666666667,17.05,6.94,363200571.8699,0.035414152669162,157758552.8291,0.0439642142070085,0.038003156106754,3177563.6967,-0.0751992811218969,269951309.1533,-0.000886021081086596,-2.03693204525734e-07
"8",2020,592,21.7554020535549,10.5828672974675,15.152894093753,0.45,598.196666666667,17.05,6.94,363220155.6995,0.040808077283998,157769321.9724,0.0507935604934886,0.0438317339256287,3177220.9821,-0.0859766223106817,269950966.4387,-0.0010129741840359,-2.03693204525734e-07
"9",2020,593,21.7525768358013,10.5818461627053,15.1528130756911,0.45,598.196666666667,17.05,6.94,363240287.998,0.0463530652996269,157780320.9786,0.0577686763457024,0.0498097721443287,3176878.797,-0.0967373123204567,269950623.7241,-0.00113992728701362,-4.02176013380995e-07
"10",2020,594,21.7420318772257,10.5808303218428,15.1527391836568,0.45,598.432,17.08,6.95,363260270.0128,0.0518566610561919,157791290.5226,0.0647251084864848,0.055753294371172,3176536.0824,-0.107514653509241,269950281.539,-0.00126668424525178,-2.03693204525734e-07
"11",2020,595,21.7272630821685,10.5798053825944,15.1526649309823,0.45,598.48,17.08,6.95,363280402.0583,0.0574015793886815,157802463.452,0.0718105192551235,0.0617646818857907,3176196.4842,-0.118193993311237,269949941.9408,-0.00139248292802563,-2.03693204525734e-07
"12",2020,596,21.5507024411014,10.5788531117371,15.1526573002253,0.45,598.592307692308,17.04,6.91,363301327.0143,0.0631648870531336,157813787.8959,0.0789920142673566,0.0679574241107161,3175853.7696,-0.128971334500022,269949599.2262,-0.00151943603100335,-2.03693204525734e-07
"13",2020,597,21.5672279249503,10.5778202292245,15.1525998379648,0.45,598.806923076923,17.02,6.9,363322153.3558,0.0689010335754432,157825214.5209,0.0862383083166378,0.0741508512176665,3175511.5845,-0.139732024509783,269949257.0411,-0.00164619298921309,-2.03693204525734e-07
"14",2020,598,21.5653958938479,10.5767552752133,15.1525225128603,0.45,599.026153846154,17.02,6.9,363343445.3772,0.074765441133863,157836848.9279,0.0936163691360861,0.0804736009153402,3175168.8699,-0.150509365698568,269948914.3265,-0.0017731460921766,-2.03693204525734e-07
"15",2020,599,21.565377385018,10.5756931587563,15.1524500532568,0.45,599.13,17.01,6.89,363364465.1983,0.0805548772526663,157848354.7737,0.100912901747634,0.0867193937496324,3174829.2717,-0.16118870550055,269948574.7283,-0.00189894477497887,-2.03693204525734e-07
"16",2020,600,21.5553219928586,10.5746095880559,15.1523650349201,0.45,599.13,17.01,6.89,363385552.709,0.0863629569466724,157860053.8821,0.108331993525027,0.0930152963444897,3174486.5571,-0.171966046689349,269948232.0137,-0.00202589787794238,-2.03693204525734e-07
"17",2020,601,21.5579871816562,10.5734988413838,15.152264686846,0.45,599.13,17.01,6.89,363407122.5911,0.09230389497435,157871750.1387,0.115749276808558,0.0994032794519484,3174144.372,-0.182726736699109,269947889.8286,-0.00215265483616633,-2.03693204525734e-07
"18",2020,602,21.5340597049312,10.5723371759164,15.1521374854169,0.45,599.13,17.01,6.89,363428665.054,0.0982372810011896,157883734.7741,0.123349438026921,0.105841373741015,3173804.7738,-0.193406076501077,269947550.2304,-0.00227845351895439,-2.0369319031488e-07
"19",2020,603,21.5314477360501,10.5710311202574,15.151928436658,0.45,599.13,17.01,6.89,363450805.4169,0.104335345111551,157895927.5351,0.131081583912405,0.112434246375798,3173462.0592,-0.204183417689862,269947207.5158,-0.0024054066219179,-2.03693204525734e-07
"20",2020,604,21.5326302523856,10.5696707904505,15.1516891739276,0.45,599.13,17.01,6.89,363474059.9625,0.110740285742722,157908243.6197,0.138891936535984,0.119264753122877,3173119.8741,-0.214944107699623,269946864.8012,-0.00253235972490984,-4.02176013380995e-07
"21",2020,605,21.5415234912076,10.5682501073733,15.1514196084264,0.45,599.13,17.01,6.89,363496823.1816,0.117009901559655,157920914.9753,0.14692758736733,0.12606913359653,3172777.1595,-0.225721448888436,269946522.6161,-0.00265911668311958,-2.03693204525734e-07
"22",2020,606,21.527454660992,10.5668884638912,15.1511971743208,0.45,599.13,17.01,6.89,363520036.4786,0.123403481193307,157933577.8882,0.1549578841867,0.132958319770722,3172437.5613,-0.236400788690403,269946183.0179,-0.00278491536590764,-2.03693204525734e-07
"23",2020,607,21.525139908767,10.5654132821032,15.1508904357672,0.45,599.252,17.01,6.89,363543124.2808,0.129762496111894,157946426.6414,0.163106033255573,0.139859093885391,3171507.6312,-0.265644287419164,269945253.0878,-0.00312939299170978,-2.0369319031488e-07
"24",2020,608,21.5050835601379,10.5640854405518,15.1507011719366,0.45,599.252,17.01,6.89,363566345.7977,0.136158339731779,157959221.9513,0.171220290788909,0.146775282243112,3171214.6896,-0.274856417779489,269944960.1462,-0.00323790848861449,-2.03693204525734e-07
