"","year","minwage","new pay gap","new disp inc gap ft","new disp inc gap","new abs poverty rate","relative poverty line","new relative poverty rate","new in-work poverty rate","new social tax","social tax change","new income tax","income tax change","total tax change","new subsistence benefits","subsistence benefit change","new all benefits","total benefits change","other benefits change"
"1",2018,501,22.2993244297561,10.269470300227,15.081425572833,0.64,536.783076923077,17.93,7.38,319739161.9494,0.0031320101600727,127482393.9746,0.00362806365085078,0.00327341180192775,3217870.19,-0.00838403549876432,235355527.9676,-0.000114733693550306,-9.58052339683491e-08
"2",2018,502,22.2960203762974,10.2685218077075,15.0811295862977,0.64,536.783076923077,17.91,7.35,319749311.0455,0.00630628944097111,127487120.9555,0.00733614619502987,0.0065998534186491,3217599.9189,-0.0167823991498182,235355257.6965,-0.000229568807981195,-9.58052339683491e-08
"3",2018,503,22.2987033857432,10.2675746112332,15.0808376509811,0.64,536.783076923077,17.89,7.32,319759753.7649,0.00957240373342927,127491921.7331,0.0111021185976341,0.0100084538719329,3217329.728,-0.025178270678083,235354987.5056,-0.000344369846359882,-9.58052339683491e-08
"4",2018,504,22.2975045762549,10.2666385238387,15.0805541532189,0.64,536.783076923077,17.89,7.32,319770014.5494,0.0127816152063929,127496686.802,0.0148400792925827,0.0133683870099901,3217059.4569,-0.033576634329151,235354717.2345,-0.000459204960819193,-9.58052339683491e-08
"5",2018,505,22.2961531774356,10.2657086858786,15.0802753452288,0.64,536.783076923077,17.89,7.32,319780320.2961,0.0160048892695954,127501509.9139,0.018623571848039,0.0167513531549446,3216789.266,-0.0419725058574301,235354447.0436,-0.00057400599919788,-9.58052339683491e-08
"6",2018,506,22.2688021300808,10.2648326971751,15.0800392162341,0.64,536.783076923077,17.89,7.32,319790549.8648,0.0192043375413533,127506417.1948,0.0224730908178969,0.0201361061685219,3216518.9949,-0.0503708695084697,235354176.7725,-0.00068884111365719,-9.58052197574943e-08
"7",2018,507,22.2671265641859,10.2640103397457,15.079850443832,0.64,536.783076923077,17.89,7.32,319801431.3991,0.0226076976566674,127511405.2469,0.0263859707962126,0.0236847065583419,3216248.804,-0.0587667410367487,235353906.5816,-0.000803642152035877,-9.58052197574943e-08
"8",2018,508,22.2669051369617,10.2631607373017,15.0796497787297,0.64,536.783076923077,17.89,7.32,319812306.7496,0.0260091236974347,127516575.8751,0.0304420726879897,0.02727275005455,3215978.5329,-0.0671651046877884,235353636.3105,-0.000918477266495188,-9.58052339683491e-08
"9",2018,509,22.2485837931152,10.2623296364706,15.0794622378563,0.64,536.812173913044,17.9,7.32,319823225.4912,0.0294241209437729,127521825.1535,0.0345598717687068,0.030888083222564,3215708.342,-0.0755609762160674,235353366.1196,-0.00103327830487387,-9.58052339683491e-08
"10",2018,510,22.2386408752708,10.2614432296053,15.0792437053211,0.64,536.91,17.91,7.33,319834267.1343,0.0328775574443512,127527143.6857,0.0387319970276536,0.0345463842635638,3215438.0709,-0.0839593398671212,235353095.8485,-0.00114811341931897,-9.58052197574943e-08
"11",2018,511,22.216957296856,10.2606042341272,15.0790623208508,0.64,536.91,17.91,7.33,319845771.4856,0.0364757127492084,127532484.2004,0.0429213664697841,0.0383130670583967,3215167.88,-0.0923552113954003,235352825.6576,-0.00126291445771187,-9.58052339683491e-08
"12",2018,512,22.1986719010177,10.2598021101391,15.0789137870697,0.64,536.91,17.91,7.33,319857186.542,0.040045939758997,127537957.8086,0.0472151411749167,0.0420895436642041,3214899.248,-0.100702641898735,235352557.0256,-0.00137705313723302,-9.58052339683491e-08
"13",2018,513,22.202650674716,10.2589776434329,15.0787524232048,0.64,536.91,17.88,7.3,319868496.951,0.0435834367531669,127543489.3021,0.0515543240327787,0.0458555637904112,3214628.9769,-0.109101005549789,235352286.7545,-0.00149188825167812,-9.58052339683491e-08
"14",2018,514,22.2244079904273,10.2580387109069,15.0785181281859,0.64,536.91,17.88,7.3,319880422.0835,0.0473131975756047,127549046.5131,0.0559136809964116,0.0497647930163936,3214358.786,-0.117496877078068,235352016.5636,-0.00160668929005681,-9.58052339683491e-08
"15",2018,515,22.2105977222078,10.256658840858,15.077946207639,0.64,536.91,17.88,7.3,319892227.7681,0.0510055993080982,127554711.321,0.0603574424023776,0.0536713722386395,3212244.3362,-0.183200973232985,235349902.1138,-0.00250509494566131,-9.58052339683491e-08
"16",2018,516,22.2150844315488,10.2557973484103,15.0777890078125,0.64,537.036,17.89,7.31,319904503.3934,0.0548449819157781,127560608.5187,0.0649835021038143,0.0577349996802639,3212106.6518,-0.187479357641365,235349764.4294,-0.00256359548023966,-9.58052339683491e-08
"17",2018,517,22.2152208001607,10.2549332896768,15.0776352702242,0.64,537.097142857143,17.89,7.3,319916880.5842,0.0587161306294206,127566527.7781,0.0696268681168988,0.0618262714170044,3211967.3283,-0.191808675197464,235349625.1059,-0.00262279244975616,-9.58052339683491e-08
"18",2018,518,22.2026800559392,10.2540752901516,15.0774913079587,0.64,537.097142857143,17.88,7.28,319929797.8947,0.0627562097341183,127572578.2968,0.0743732005538931,0.0660676703039513,3211829.6439,-0.196087059605858,235349487.4215,-0.0026812929843345,-9.58052339683491e-08
"19",2018,519,22.1804677969321,10.2531884345246,15.0773341046533,0.64,537.097142857143,17.88,7.28,319942598.1232,0.0667596697189481,127578763.1121,0.0792248820262955,0.0703129185499591,3211690.3204,-0.200416377161957,235349348.098,-0.00274048995385101,-9.58052339683491e-08
"20",2018,520,22.1789787578743,10.2523188451221,15.0771963553577,0.64,537.097142857143,17.87,7.27,319955370.5613,0.0707544378468867,127584997.5318,0.0841154756952136,0.0745630446275101,3211552.636,-0.204694761570337,235349210.4136,-0.00279899048842935,-9.58052339683491e-08
"21",2018,521,22.1794830498037,10.2514409527775,15.0770542863025,0.64,537.09724137931,17.87,7.26,319968365.2467,0.0748187170911194,127591312.2275,0.0890690419127083,0.0788808179816129,3211413.3125,-0.209024079126451,235349071.0901,-0.00285818745796007,-9.58052339683491e-08
"22",2018,522,22.1791305065442,10.2506043212125,15.0769527000831,0.64,537.09724137931,17.87,7.26,319982051.1031,0.0790991702452004,127597760.5728,0.0941274496261286,0.0833830295831604,3211275.6281,-0.213302463534831,235348933.4057,-0.00291668799253841,-9.58052339683491e-08
"23",2018,523,22.2109233664029,10.2497527663345,15.0768459858284,0.64,537.09724137931,17.87,7.26,319995551.8269,0.0833217204519627,127604209.518,0.0991863279314344,0.0878439778023363,3211136.3046,-0.217631781090944,235348794.0822,-0.00297588496206913,-9.58052339683491e-08
"24",2018,524,22.1747052262336,10.2489185750178,15.076756643643,0.64,537.09724137931,17.87,7.26,320009221.1813,0.0875970123624938,127610821.368,0.104372996988985,0.0923790606977803,3210998.6202,-0.221910165499338,235348656.3978,-0.00303438549663326,-9.58052339683491e-08
"25",2018,525,22.1636781875777,10.2480965315008,15.0766815959272,0.64,537.09724137931,17.84,7.22,320023087.1474,0.0919337974778642,127617572.9244,0.109669258802299,0.096989347729604,3210624.0894,-0.233548279440924,235348281.867,-0.00319351937103818,-9.58052197574943e-08
"26",2018,526,22.1470041410117,10.2473149840842,15.0766414317186,0.64,537.09724137931,17.84,7.22,320037552.0465,0.0964579077100609,127624325.9767,0.114966694075108,0.10173389675009,3210226.1047,-0.245915196355654,235347883.8823,-0.0033626185406348,-9.58052339683491e-08
"27",2018,527,22.1456549176856,10.246558178724,15.0766262991006,0.64,537.09724137931,17.84,7.2,320051615.4042,0.100856429955527,127631250.0918,0.120398319647407,0.106426908419238,3209829.7591,-0.258231180122692,235347487.5367,-0.00353102127527904,-9.58052197574943e-08
"28",2018,528,22.1462148507064,10.2458026173757,15.076612066495,0.64,537.09724137931,17.81,7.16,320065866.0918,0.105313542386213,127638201.7601,0.125851559341299,0.111167970127795,3209434.8908,-0.27050125849091,235347092.6684,-0.00369879632198433,-9.58052339683491e-08
"29",2018,529,22.1444977918069,10.2450652269281,15.0766142728071,0.64,537.09724137931,17.74,7.02,320080644.3007,0.109935644872763,127645203.2884,0.131343911737275,0.116038140148007,3209038.5452,-0.282817242257963,235346696.3228,-0.00386719905662858,-9.58052197574943e-08
"30",2018,530,22.1441667749191,10.2440751413647,15.076441152845,0.64,537.1584,17.74,7.02,320095119.7627,0.114463058807544,127652145.1653,0.136789470562505,0.120827274234699,3208640.5605,-0.295184159172692,235346298.3381,-0.00403629822623941,-9.58052339683491e-08
"31",2018,531,22.1269440933103,10.2432886390871,15.0764147691416,0.64,537.1584,17.74,7.02,320109693.0297,0.119021062696476,127659206.3212,0.142328597859276,0.12566495050433,3208244.2149,-0.307500142939702,235345901.9925,-0.00420470096088366,-9.58052197574943e-08
