"","year","minwage","household","scenario","absolute_poverty","relative_poverty"
"1","Üksik mees","Tegelik 2019",6.03,32.75,2019,541
"2","Üksik mees","Ennustatud 2019",6.03,32.75,2019,541
"3","Üksik naine","Tegelik 2019",1.32,21.29,2019,541
"4","Üksik naine","Ennustatud 2019",1.32,21.29,2019,541
"5","Üksikvanem","Tegelik 2019",0,30.12,2019,541
"6","Üksikvanem","Ennustatud 2019",0,30.12,2019,541
"7","Lasteta paar","Tegelik 2019",0.26,9.19,2019,541
"8","Lasteta paar","Ennustatud 2019",0.26,9.19,2019,541
"9","Ühe lapsega paar","Tegelik 2019",0,7.34,2019,541
"10","Ühe lapsega paar","Ennustatud 2019",0,7.34,2019,541
"11","Kahe lapsega paar","Tegelik 2019",0,9.52,2019,541
"12","Kahe lapsega paar","Ennustatud 2019",0,9.52,2019,541
"13","Kolme ja enama lapsega paar","Tegelik 2019",0,7.99,2019,541
"14","Kolme ja enama lapsega paar","Ennustatud 2019",0,7.99,2019,541
"15","Üksik mees","Tegelik 2019",6.03,32.75,2019,542
"16","Üksik mees","Ennustatud 2019",6.03,32.75,2019,542
"17","Üksik naine","Tegelik 2019",1.32,21.29,2019,542
"18","Üksik naine","Ennustatud 2019",1.32,21.29,2019,542
"19","Üksikvanem","Tegelik 2019",0,30.12,2019,542
"20","Üksikvanem","Ennustatud 2019",0,30.12,2019,542
"21","Lasteta paar","Tegelik 2019",0.26,9.19,2019,542
"22","Lasteta paar","Ennustatud 2019",0.26,9.19,2019,542
"23","Ühe lapsega paar","Tegelik 2019",0,7.34,2019,542
"24","Ühe lapsega paar","Ennustatud 2019",0,7.34,2019,542
"25","Kahe lapsega paar","Tegelik 2019",0,9.52,2019,542
"26","Kahe lapsega paar","Ennustatud 2019",0,9.52,2019,542
"27","Kolme ja enama lapsega paar","Tegelik 2019",0,7.99,2019,542
"28","Kolme ja enama lapsega paar","Ennustatud 2019",0,7.99,2019,542
"29","Üksik mees","Tegelik 2019",6.03,32.75,2019,543
"30","Üksik mees","Ennustatud 2019",6.03,32.75,2019,543
"31","Üksik naine","Tegelik 2019",1.32,21.29,2019,543
"32","Üksik naine","Ennustatud 2019",1.32,21.29,2019,543
"33","Üksikvanem","Tegelik 2019",0,30.12,2019,543
"34","Üksikvanem","Ennustatud 2019",0,30.12,2019,543
"35","Lasteta paar","Tegelik 2019",0.26,9.19,2019,543
"36","Lasteta paar","Ennustatud 2019",0.26,9.19,2019,543
"37","Ühe lapsega paar","Tegelik 2019",0,7.34,2019,543
"38","Ühe lapsega paar","Ennustatud 2019",0,7.34,2019,543
"39","Kahe lapsega paar","Tegelik 2019",0,9.52,2019,543
"40","Kahe lapsega paar","Ennustatud 2019",0,9.52,2019,543
"41","Kolme ja enama lapsega paar","Tegelik 2019",0,7.99,2019,543
"42","Kolme ja enama lapsega paar","Ennustatud 2019",0,7.99,2019,543
"43","Üksik mees","Tegelik 2019",6.03,32.75,2019,544
"44","Üksik mees","Ennustatud 2019",6.03,32.75,2019,544
"45","Üksik naine","Tegelik 2019",1.32,21.29,2019,544
"46","Üksik naine","Ennustatud 2019",1.32,21.29,2019,544
"47","Üksikvanem","Tegelik 2019",0,30.12,2019,544
"48","Üksikvanem","Ennustatud 2019",0,29.04,2019,544
"49","Lasteta paar","Tegelik 2019",0.26,9.19,2019,544
"50","Lasteta paar","Ennustatud 2019",0.26,9.19,2019,544
"51","Ühe lapsega paar","Tegelik 2019",0,7.34,2019,544
"52","Ühe lapsega paar","Ennustatud 2019",0,7.34,2019,544
"53","Kahe lapsega paar","Tegelik 2019",0,9.52,2019,544
"54","Kahe lapsega paar","Ennustatud 2019",0,9.52,2019,544
"55","Kolme ja enama lapsega paar","Tegelik 2019",0,7.99,2019,544
"56","Kolme ja enama lapsega paar","Ennustatud 2019",0,7.99,2019,544
"57","Üksik mees","Tegelik 2019",6.03,32.75,2019,545
"58","Üksik mees","Ennustatud 2019",6.03,32.75,2019,545
"59","Üksik naine","Tegelik 2019",1.32,21.29,2019,545
"60","Üksik naine","Ennustatud 2019",1.32,21.29,2019,545
"61","Üksikvanem","Tegelik 2019",0,30.12,2019,545
"62","Üksikvanem","Ennustatud 2019",0,29.04,2019,545
"63","Lasteta paar","Tegelik 2019",0.26,9.19,2019,545
"64","Lasteta paar","Ennustatud 2019",0.26,9.19,2019,545
"65","Ühe lapsega paar","Tegelik 2019",0,7.34,2019,545
"66","Ühe lapsega paar","Ennustatud 2019",0,7.34,2019,545
"67","Kahe lapsega paar","Tegelik 2019",0,9.52,2019,545
"68","Kahe lapsega paar","Ennustatud 2019",0,9.52,2019,545
"69","Kolme ja enama lapsega paar","Tegelik 2019",0,7.99,2019,545
"70","Kolme ja enama lapsega paar","Ennustatud 2019",0,7.99,2019,545
